Student,Gender,Beginner,Expert,Intermediate,No response,Novice,Proficient,Week 1 quiz,Week 2 quiz,Week 3 quiz,Week 4 quiz,Week 5 quiz,Week 6 quiz,Week 7 quiz,Week 8 quiz,Week 9 quiz,Week 10 quiz,Week 11 quiz,Week 12 quiz,Week 13 quiz,Week 14 quiz,Week 15 quiz,Week 16 quiz,Week 1 homework,Week 2 homework,Week 3 homework,Week 4 homework,Week 5 homework,Week 7 homework,Week 8 homework,Week 9 homework,Week 10 homework,Week 11 homework,Week 13 homework,Week 14 homework,Week 15 homework,Week 1 quiz first score,Week 2 quiz first score,Week 3 quiz first score,Week 4 quiz first score,Week 5 quiz first score,Week 6 quiz first score,Week 7 quiz first score,Week 8 quiz first score,Week 9 quiz first score,Week 10 quiz first score,Week 11 quiz first score,Week 12 quiz first score,Week 13 quiz first score,Week 14 quiz first score,Week 15 quiz first score,Week 16 quiz first score,Week 1 hw first score,Week 2 hw first score,Week 3 hw first score,Week 4 hw first score,Week 5 hw first score,Week 7 hw first score,Week 8 hw first score,Week 9 hw first score,Week 10 hw first score,Week 11 hw first score,Week 13 hw first score,Week 14 hw first score,Week 15 hw first score,Week 1 quiz final score,Week 2 quiz final score,Week 3 quiz final score,Week 4 quiz final score,Week 5 quiz final score,Week 6 quiz final score,Week 7 quiz final score,Week 8 quiz final score,Week 9 quiz final score,Week 10 quiz final score,Week 11 quiz final score,Week 12 quiz final score,Week 13 quiz final score,Week 14 quiz final score,Week 15 quiz final score,Week 16 quiz final score,Week 1 hw final score,Week 2 hw final score,Week 3 hw final score,Week 4 hw final score,Week 5 hw final score,Week 7 hw final score,Week 8 hw final score,Week 9 hw final score,Week 10 hw final score,Week 11 hw final score,Week 13 hw final score,Week 14 hw final score,Week 15 hw final score,Week 1 quiz n sub before dl,Week 2 quiz n sub before dl,Week 3 quiz n sub before dl,Week 4 quiz n sub before dl,Week 5 quiz n sub before dl,Week 6 quiz n sub before dl,Week 7 quiz n sub before dl,Week 8 quiz n sub before dl,Week 9 quiz n sub before dl,Week 10 quiz n sub before dl,Week 11 quiz n sub before dl,Week 12 quiz n sub before dl,Week 13 quiz n sub before dl,Week 14 quiz n sub before dl,Week 15 quiz n sub before dl,Week 16 quiz n sub before dl,Week 1 hw n sub before dl,Week 2 hw n sub before dl,Week 3 hw n sub before dl,Week 4 hw n sub before dl,Week 5 hw n sub before dl,Week 7 hw n sub before dl,Week 8 hw n sub before dl,Week 9 hw n sub before dl,Week 10 hw n sub before dl,Week 11 hw n sub before dl,Week 13 hw n sub before dl,Week 14 hw n sub before dl,Week 15 hw n sub before dl,Week 1 quiz n sub after dl,Week 2 quiz n sub after dl,Week 3 quiz n sub after dl,Week 4 quiz n sub after dl,Week 5 quiz n sub after dl,Week 6 quiz n sub after dl,Week 7 quiz n sub after dl,Week 8 quiz n sub after dl,Week 9 quiz n sub after dl,Week 10 quiz n sub after dl,Week 11 quiz n sub after dl,Week 12 quiz n sub after dl,Week 13 quiz n sub after dl,Week 14 quiz n sub after dl,Week 15 quiz n sub after dl,Week 16 quiz n sub after dl,Week 1 hw n sub after dl,Week 2 hw n sub after dl,Week 3 hw n sub after dl,Week 4 hw n sub after dl,Week 5 hw n sub after dl,Week 7 hw n sub after dl,Week 8 hw n sub after dl,Week 9 hw n sub after dl,Week 10 hw n sub after dl,Week 11 hw n sub after dl,Week 13 hw n sub after dl,Week 14 hw n sub after dl,Week 15 hw n sub after dl,Week 1 quiz first sub,Week 2 quiz first sub,Week 3 quiz first sub,Week 4 quiz first sub,Week 5 quiz first sub,Week 6 quiz first sub,Week 7 quiz first sub,Week 8 quiz first sub,Week 9 quiz first sub,Week 10 quiz first sub,Week 11 quiz first sub,Week 12 quiz first sub,Week 13 quiz first sub,Week 14 quiz first sub,Week 15 quiz first sub,Week 16 quiz first sub,Week 1 hw first sub,Week 2 hw first sub,Week 3 hw first sub,Week 4 hw first sub,Week 5 hw first sub,Week 7 hw first sub,Week 8 hw first sub,Week 9 hw first sub,Week 10 hw first sub,Week 11 hw first sub,Week 13 hw first sub,Week 14 hw first sub,Week 15 hw first sub,Week 1 quiz last sub,Week 2 quiz last sub,Week 3 quiz last sub,Week 4 quiz last sub,Week 5 quiz last sub,Week 6 quiz last sub,Week 7 quiz last sub,Week 8 quiz last sub,Week 9 quiz last sub,Week 10 quiz last sub,Week 11 quiz last sub,Week 12 quiz last sub,Week 13 quiz last sub,Week 14 quiz last sub,Week 15 quiz last sub,Week 16 quiz last sub,Week 1 hw last sub,Week 2 hw last sub,Week 3 hw last sub,Week 4 hw last sub,Week 5 hw last sub,Week 7 hw last sub,Week 8 hw last sub,Week 9 hw last sub,Week 10 hw last sub,Week 11 hw last sub,Week 13 hw last sub,Week 14 hw last sub,Week 15 hw last sub,Score,Grade
S035,0,0,0,0,0,0,1,4,4,2,3,6,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,0,8,11,4,1,1,0,7,4,0.86,0.58,0.78,0.0,0.68,0.86,0.8,0.52,0.5,0.88,0.72,0.98,0.72,0.78,0.84,0.0,0.52,1.0,0.58,0.72,0.52,0.84,0.34,0.96,0.34,0.88,0.0,0.12,0.0,1.0,1.0,0.0,1.0,0.84,1.0,1.0,0.84,1.0,0.3,0.92,0.76,0.9,0.92,0.94,0.0,1.0,1.0,1.0,1.0,0.74,0.84,0.76,1.0,0.0,1.0,0.0,1.0,1.0,4,4,2,3,1,1,1,1,1,1,2,1,1,1,2,0,1,2,2,1,0,8,11,4,0,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0013888888889,16.769444444444446,10.198333333333334,102.72805555555556,40.23583333333333,33.25111111111111,65.41194444444444,13.37,23.463333333333335,9.034722222222221,14.691666666666666,61.22638888888889,9.655277777777778,7.879166666666666,13.026666666666667,-24.0,131.2625,15.732222222222223,8.942777777777778,86.01527777777778,-24.0,63.404444444444444,10.899166666666666,22.433888888888887,-24.0,14.71,-24.0,5.056666666666667,8.555555555555555,124.39027777777778,16.423333333333332,9.914444444444445,87.92277777777778,40.23583333333333,33.25111111111111,65.41194444444444,13.37,23.463333333333335,9.034722222222221,14.4825,61.22638888888889,9.655277777777778,7.879166666666666,12.515833333333333,-24.0,131.2625,15.695833333333333,8.881666666666666,86.01527777777778,-24.0,56.72888888888889,10.59388888888889,22.387777777777778,-24.0,14.71,-24.0,4.789444444444444,8.4475,83.18,B
S124,0,0,1,0,0,0,0,3,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,21,10,22,36,12,0,0,0,0,0,0,0,0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.78,0.86,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.66,0.9,0.0,0.48,0.0,0.0,0.0,0.0,0.92,0.92,0.9,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,21,10,22,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.66333333333333,92.43083333333334,156.6888888888889,156.3088888888889,57.869166666666665,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,158.2536111111111,93.00888888888889,156.21138888888888,157.69472222222223,58.15416666666667,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,121.44194444444445,92.23222222222222,156.29666666666665,156.22833333333332,57.869166666666665,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,83.62194444444444,8.864722222222222,13.355277777777777,15.054444444444444,57.87722222222222,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,0.98,F
S359,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.7072222222222,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,130.85666666666665,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,130.7072222222222,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,130.85666666666665,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,0.99,F
S081,0,0,0,1,0,0,0,5,2,3,2,3,1,1,3,1,2,1,1,1,1,1,2,1,1,3,1,4,2,8,3,8,1,4,1,1,0.78,0.86,0.92,0.76,0.46,0.82,0.9,0.76,0.64,0.78,0.9,0.8,0.92,0.58,0.8,0.62,0.0,0.72,0.66,1.0,0.52,0.5,0.62,0.18,0.62,1.0,0.88,1.0,0.16,0.88,0.94,0.96,0.9,1.0,0.98,0.98,0.76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.34,0.66,0.22,0.0,0.0,0.0,0.0,0.0,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,3,1,4,2,8,3,8,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.27583333333334,114.23444444444445,20.65222222222222,39.25972222222222,63.50888888888889,21.830555555555556,37.61805555555556,39.735277777777775,37.59166666666667,21.566666666666666,138.32333333333332,21.414166666666667,42.4725,35.61694444444444,21.321666666666665,14.815833333333334,108.89888888888889,112.75583333333333,15.643888888888888,34.48416666666667,21.08972222222222,34.780277777777776,19.425,20.275833333333335,9.083333333333334,55.091388888888886,15.652222222222223,32.989444444444445,19.046666666666667,126.27583333333334,114.23444444444445,20.122777777777777,39.25972222222222,39.73722222222222,21.830555555555556,37.61805555555556,18.18,37.59166666666667,20.776944444444446,138.32333333333332,21.414166666666667,42.4725,35.61694444444444,21.321666666666665,13.405555555555555,108.89888888888889,112.75583333333333,9.761111111111111,34.48416666666667,20.623055555555556,34.74444444444445,18.295555555555556,19.300555555555555,8.929444444444444,55.091388888888886,15.54861111111111,32.989444444444445,19.046666666666667,87.66,B
S262,1,0,0,0,0,0,1,7,5,4,3,2,0,1,2,2,0,1,1,1,0,0,1,1,1,6,7,3,4,4,0,0,5,1,0,0,0.92,0.8,0.72,0.8,0.0,0.0,0.0,0.76,0.82,0.76,0.88,0.9,0.0,0.72,0.88,0.64,0.52,0.86,0.76,0.3,0.94,0.0,0.0,0.6,0.0,0.24,0.0,0.0,0.0,1.0,0.0,0.0,0.96,1.0,1.0,1.0,1.0,0.88,0.6,0.9,0.86,0.7,0.62,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.56,0.48,1.0,0.0,1.0,7,5,4,3,2,0,1,2,2,0,1,1,1,0,0,1,1,1,6,7,3,4,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.81222222222222,35.350833333333334,86.51138888888889,36.821666666666665,12.773055555555555,-24.0,21.439444444444444,36.63583333333333,12.185833333333333,-24.0,38.731944444444444,0.9094444444444445,12.129444444444445,-24.0,-24.0,11.6925,99.96111111111111,11.664722222222222,81.82611111111112,34.106944444444444,11.280277777777778,20.32611111111111,34.1975,-24.0,-24.0,23.249444444444446,11.665,-24.0,-24.0,99.04194444444444,34.309444444444445,85.39611111111111,36.410555555555554,12.429166666666667,-24.0,21.439444444444444,36.12555555555556,11.8825,-24.0,38.731944444444444,0.9094444444444445,12.129444444444445,-24.0,-24.0,11.6925,99.96111111111111,11.664722222222222,13.755277777777778,32.88194444444444,11.164166666666667,20.210555555555555,33.85138888888889,-24.0,-24.0,23.113333333333333,11.665,-24.0,-24.0,72.85,C
S411,0,0,0,0,0,0,1,7,6,7,5,5,4,2,1,9,4,2,2,5,8,3,1,2,14,5,1,5,6,9,8,11,20,4,10,17,0.78,0.76,0.66,0.82,0.94,0.76,0.9,0.92,0.0,0.7,0.98,0.9,0.9,0.2,0.52,0.12,1.0,1.0,0.06,0.04,0.84,1.0,0.04,0.0,0.0,0.06,0.0,0.24,0.5,1.0,0.74,0.6,0.76,0.78,1.0,0.86,1.0,0.68,0.9,1.0,0.84,0.6,0.8,0.7,0.3,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.24,0.0,7,6,7,5,5,4,2,1,9,4,2,2,5,8,3,1,2,14,5,1,5,6,9,8,11,20,4,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.99694444444444,141.04555555555555,153.71444444444444,157.82888888888888,157.82305555555556,137.05583333333334,125.6463888888889,102.55472222222222,136.62833333333333,133.2463888888889,134.73222222222222,135.29916666666668,137.21416666666667,152.08388888888888,89.50416666666666,133.67,126.07083333333334,132.34833333333333,150.8661111111111,12.564444444444444,41.718333333333334,102.14055555555555,54.12166666666667,43.548611111111114,126.66583333333334,133.01638888888888,133.275,14.11111111111111,85.33277777777778,122.82916666666667,8.401944444444444,152.2488888888889,157.11416666666668,42.271388888888886,113.92,125.46833333333333,102.55472222222222,7.329444444444444,128.06083333333333,134.50583333333333,135.06166666666667,9.215555555555556,14.614444444444445,89.10583333333334,133.67,123.22111111111111,7.350833333333333,134.81444444444443,12.564444444444444,36.12888888888889,55.23888888888889,41.30638888888889,42.950833333333335,15.53111111111111,80.61916666666667,128.22083333333333,5.605833333333333,80.78583333333333,101.9,A
S016,0,0,0,1,0,0,0,2,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,3,2,6,1,1,2,1,1,5,3,0,0,0,0.78,0.74,0.36,0.7,0.0,0.0,0.0,1.0,0.98,0.94,0.92,0.92,0.94,0.66,0.66,0.76,0.06,1.0,0.94,0.82,0.0,0.0,0.0,0.0,0.44,0.0,0.88,1.0,0.0,0.94,0.9,0.86,0.76,0.6,0.96,0.96,0.8,0.96,0.94,0.88,0.98,0.64,0.0,0.74,0.9,1.0,1.0,0.14,0.42,0.16,1.0,0.04,1.0,0.56,0.76,0.0,0.0,0.0,2,1,1,2,1,1,1,1,1,1,1,1,1,0,2,1,3,2,6,1,1,2,1,1,5,3,0,0,0,1,2,1,1,1,0,2,1,1,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150.1652777777778,6.3341666666666665,7.086388888888889,11.789444444444445,12.499166666666667,11.511111111111111,9.758611111111112,11.176388888888889,8.743611111111111,15.127222222222223,5.850555555555555,1.6452777777777778,2.4919444444444445,-24.0,11.394166666666667,5.883611111111111,95.8411111111111,6.541111111111111,4.821666666666666,6.485555555555556,5.900555555555556,6.842777777777778,5.2572222222222225,4.914722222222222,7.4030555555555555,3.2875,-24.0,-24.0,-24.0,98.13388888888889,6.3341666666666665,7.086388888888889,9.002777777777778,12.499166666666667,11.511111111111111,9.758611111111112,11.176388888888889,8.743611111111111,15.127222222222223,5.850555555555555,1.6452777777777778,2.4919444444444445,-24.0,9.662777777777778,5.883611111111111,76.15277777777777,6.474722222222222,4.5761111111111115,6.485555555555556,5.900555555555556,6.700833333333334,5.2572222222222225,4.914722222222222,7.265555555555555,3.216666666666667,-24.0,-24.0,-24.0,56.57,E
S254,0,0,1,0,0,0,0,0,0,1,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,2,10,12,0,8,3,1,2,38,14,0.0,1.0,0.98,0.86,0.84,0.84,0.98,0.86,0.8,0.0,0.0,0.0,0.7,1.0,0.86,0.74,0.0,0.58,0.68,1.0,0.64,0.96,0.58,1.0,0.0,0.0,1.0,0.76,0.16,1.0,0.0,0.0,0.9,0.74,0.78,0.98,0.8,0.44,0.94,0.7,0.9,0.44,1.0,0.94,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.48,0.0,0.0,0.0,0.88,0.38,0.84,0,0,1,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,2,10,12,0,8,3,1,2,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.0,-24.0,104.53666666666666,131.5725,115.2213888888889,83.19361111111111,15.842777777777778,-24.0,155.12944444444443,85.26138888888889,119.15583333333333,108.61361111111111,57.544444444444444,33.218333333333334,101.7975,-24.0,-24.0,-24.0,103.00083333333333,5.219166666666666,112.17305555555555,9.470833333333333,-24.0,6.6025,83.65694444444445,117.36916666666667,56.71527777777778,30.98111111111111,82.43944444444445,-24.0,-24.0,104.53666666666666,131.43555555555557,115.2213888888889,83.19361111111111,15.842777777777778,-24.0,155.12944444444443,85.26138888888889,119.15583333333333,108.61361111111111,57.544444444444444,33.218333333333334,101.7975,-24.0,-24.0,-24.0,103.00083333333333,5.1775,111.71416666666667,9.133611111111112,-24.0,6.339722222222222,83.57666666666667,117.36916666666667,56.70361111111111,30.18777777777778,17.109166666666667,90.67,A
S367,1,1,0,0,0,0,0,8,4,10,5,3,2,4,0,0,0,0,0,0,0,0,0,4,7,0,1,0,1,4,0,0,0,0,0,0,0.0,0.84,0.6,0.86,0.88,0.96,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.88,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.92,0.8,1.0,0.98,0.58,0.86,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1,4,1,1,2,4,0,0,0,0,0,0,0,0,0,4,7,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.55361111111111,6.439444444444445,19.496944444444445,11.456111111111111,11.114166666666666,34.74611111111111,42.49861111111111,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,9.021666666666667,6.873888888888889,-24.0,7.589166666666666,-24.0,6.648611111111111,7.677222222222222,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,8.468055555555555,6.439444444444445,18.035,11.456111111111111,11.114166666666666,16.63388888888889,38.013888888888886,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,8.550833333333333,6.595277777777778,-24.0,7.589166666666666,-24.0,6.648611111111111,7.295277777777778,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,9.61,F
S001,1,0,0,0,0,1,0,7,2,4,7,9,6,5,9,7,13,34,5,8,9,8,3,1,5,11,5,8,6,2,16,2,2,6,1,3,0.84,0.92,0.9,0.62,0.5,0.92,0.84,0.9,0.72,0.0,0.0,0.66,0.56,0.0,0.0,0.0,0.52,1.0,0.62,0.06,0.22,0.0,0.0,0.32,0.0,0.0,0.88,0.0,0.0,1.0,0.2,1.0,1.0,1.0,0.9,1.0,1.0,0.56,1.0,1.0,1.0,0.0,1.0,1.0,0.58,1.0,0.94,1.0,1.0,1.0,1.0,0.34,0.96,1.0,0.7,1.0,0.0,1.0,6,2,4,5,7,6,4,9,7,13,33,5,8,9,8,3,1,5,11,5,8,6,2,16,2,2,6,1,3,1,2,3,2,2,1,1,6,4,1,1,3,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71.3625,10.54,64.68527777777778,113.39805555555556,34.64333333333333,113.68638888888889,152.51,57.75361111111111,155.07777777777778,105.60472222222222,67.1025,38.57694444444444,135.1363888888889,133.20222222222222,20.09,109.215,71.42361111111111,5.381666666666667,32.27527777777778,13.459166666666667,32.3025,82.70583333333333,14.575,92.16888888888889,88.45916666666666,12.156944444444445,12.202777777777778,9.50611111111111,11.796944444444444,0.3819444444444444,5.160555555555556,6.764722222222222,19.21638888888889,14.626666666666667,13.876388888888888,134.6536111111111,44.034444444444446,7.663611111111111,89.25861111111111,63.013888888888886,35.58638888888889,7.588333333333333,131.8997222222222,19.191944444444445,6.052222222222222,71.42361111111111,4.663611111111111,7.615,8.435833333333333,16.614722222222223,82.025,6.9558333333333335,7.6241666666666665,82.78888888888889,7.833055555555555,9.811388888888889,9.50611111111111,9.935555555555556,82.4,B
